Name,Critic_Score,Critic_Count,User_Score,User_Count
NBA 2K10,82.0,46.0,7.6,34.0
NCAA Football 06,87.0,38.0,8.3,27.0
Grand Theft Auto: San Andreas,93.0,47.0,8.9,1841.0
Madden NFL 08,81.0,31.0,5.3,33.0
Fire Emblem,88.0,31.0,9.2,144.0
Brutal Legend,82.0,88.0,8,268.0
Disney Infinity,75.0,21.0,5.9,47.0
NHL 2004,85.0,19.0,7.6,53.0
Grand Theft Auto: Vice City Stories,75.0,37.0,7.9,67.0
FIFA Soccer 2005,81.0,34.0,8.7,23.0
Mass Effect 3,89.0,23.0,5.5,5926.0
Cars,54.0,17.0,2.1,11.0
Band Hero,79.0,20.0,6.6,15.0
Skylanders: Spyro's Adventure,78.0,35.0,5.2,53.0
LEGO Star Wars II: The Original Trilogy,84.0,25.0,9.1,16.0
Medal of Honor: Underground,86.0,16.0,9,44.0
Dark Cloud 2,87.0,41.0,9.1,174.0
Far Cry 3,88.0,43.0,8.2,3183.0
Evolve,76.0,46.0,4.3,894.0
Dead Space 3,76.0,37.0,6.4,522.0
NHL 2001,85.0,22.0,8.1,9.0
Farming Simulator 2013,65.0,12.0,7.5,111.0
Guitar Hero: Warriors of Rock,77.0,26.0,7.5,17.0
de Blob,82.0,48.0,8.6,73.0
Shinobi,71.0,33.0,7.9,43.0
Mortal Kombat: Deadly Alliance,81.0,27.0,8.4,24.0
The Witcher 2: Assassins of Kings,88.0,76.0,8.5,4378.0
Sniper Elite V2,70.0,21.0,6.9,92.0
ESPN NBA 2K5,85.0,28.0,8.7,22.0
Gangs of London,52.0,47.0,6.7,18.0
Mario Tennis Open,69.0,58.0,6.9,110.0
PilotWings Resort,71.0,64.0,7.4,88.0
World Championship Poker,60.0,8.0,7.7,11.0
My Weight Loss Coach,63.0,4.0,7.6,7.0
Tom Clancy's Splinter Cell: Chaos Theory,87.0,29.0,8.6,53.0
Sonic Unleashed,60.0,50.0,7.8,238.0
SpongeBob SquarePants: Battle for Bikini Bottom,71.0,10.0,8.6,34.0
PlayStation All-Stars Battle Royale,74.0,69.0,7.3,540.0
Pro Evolution Soccer 2014,78.0,39.0,4.1,303.0
Tom Clancy's Ghost Recon: Future Soldier,79.0,18.0,6.9,156.0
Kessen,75.0,20.0,8.4,12.0
Driver: San Francisco,79.0,53.0,7.7,114.0
Army of Two: The 40th Day,73.0,79.0,7.3,126.0
Lost Planet 2,68.0,56.0,6.9,62.0
LEGO Pirates of the Caribbean: The Video Game,73.0,42.0,7.1,34.0
Killzone,70.0,67.0,7.4,254.0
The SpongeBob SquarePants Movie,73.0,9.0,7.8,13.0
Star Fox 64 3D,81.0,65.0,8.2,231.0
Castlevania: Lament of Innocence,79.0,45.0,8.4,74.0
Tom Clancy's Splinter Cell: Blacklist,84.0,27.0,7.7,314.0
Skylanders: Spyro's Adventure,77.0,18.0,4.8,42.0
Phantasy Star Portable,64.0,38.0,7.8,19.0
WWE SmackDown vs. Raw 2009,78.0,37.0,7,49.0
NCAA Football 10,83.0,26.0,6.7,37.0
Brutal Legend,83.0,61.0,7.6,162.0
Tony Hawk: RIDE,47.0,15.0,4.5,21.0
Bully,87.0,69.0,9.1,293.0
Prince of Persia: The Sands of Time,92.0,41.0,7.8,72.0
MLB 06: The Show,83.0,30.0,8.9,31.0
NHL 2003,79.0,20.0,6.8,18.0
Naruto Shippuden: Ultimate Ninja Storm 3,77.0,32.0,7.9,187.0
EA Sports UFC 2,79.0,38.0,6.2,157.0
The Sims 2,70.0,13.0,6.1,24.0
Tony Hawk's Pro Skater 4,90.0,25.0,8.5,21.0
Dragon Age: Inquisition,85.0,28.0,6.9,703.0
White Knight Chronicles: International Edition,64.0,77.0,7.5,213.0
SingStar Abba,70.0,26.0,5.5,4.0
Kirby: Planet Robobot,81.0,71.0,8.7,87.0
Guitar Hero: Metallica,85.0,20.0,8.6,17.0
Teenage Mutant Ninja Turtles,71.0,16.0,8.8,8.0
Bayonetta,90.0,86.0,8,597.0
MLB 07: The Show,83.0,25.0,8.6,19.0
Cars,71.0,21.0,7,5.0
Build-A-Bear Workshop,61.0,11.0,4.8,5.0
Kingdom Hearts Re:coded,66.0,58.0,7,76.0
Operation Flashpoint: Dragon Rising,77.0,47.0,7.8,112.0
Lego Batman 3: Beyond Gotham,73.0,43.0,7.1,75.0
Wipeout: In The Zone,39.0,5.0,5.6,8.0
Brothers in Arms: Hell's Highway,76.0,48.0,8,70.0
The LEGO Movie Videogame,80.0,5.0,6.8,12.0
Assassin's Creed III,80.0,21.0,6.2,1489.0
Borderlands 2,89.0,38.0,8.2,2482.0
Teenage Mutant Ninja Turtles,59.0,29.0,8.7,31.0
Disney Magical World,71.0,27.0,7.5,21.0
Top Gun: Combat Zones,63.0,17.0,3.3,9.0
NCAA Football 11,86.0,29.0,7.1,70.0
007: The World is not Enough,61.0,11.0,6.7,44.0
Phoenix Wright: Ace Attorney,81.0,53.0,9.2,203.0
MLB 15: The Show,80.0,44.0,7.8,190.0
South Park: The Stick of Truth,85.0,31.0,8.5,575.0
South Park: The Stick of Truth,82.0,33.0,8.4,363.0
MLB 12: The Show,87.0,23.0,7.5,75.0
SpongeBob SquarePants: The Yellow Avenger,48.0,9.0,6.4,13.0
Dante's Inferno,73.0,71.0,7.7,224.0
Wii Play: Motion,60.0,34.0,6.1,16.0
WWE SmackDown vs. Raw 2009,79.0,47.0,7.1,34.0
Sonic Riders,59.0,32.0,8,46.0
Blue Dragon,79.0,56.0,7.8,161.0
Harvest Moon 3D: A New Beginning,74.0,21.0,8.2,62.0
Kung Fu Panda,70.0,20.0,6.7,7.0
EA Sports Active 2,78.0,20.0,5.4,14.0
Knockout Kings 2002,76.0,23.0,8.1,12.0
Tom Clancy's EndWar,77.0,63.0,7.2,53.0
Tokyo Xtreme Racer 3,63.0,15.0,8.9,23.0
Xenoblade Chronicles,92.0,59.0,8.9,950.0
Colin McRae Rally 2.0,90.0,13.0,8.7,31.0
Dynasty Warriors 7,57.0,25.0,7.4,57.0
NBA 2K14,86.0,15.0,5.7,183.0
SSX,81.0,38.0,6.8,110.0
Sonic Riders: Zero Gravity,56.0,26.0,8.1,57.0
Sonic Mega Collection Plus,75.0,20.0,7.9,12.0
Operation Flashpoint: Dragon Rising,76.0,42.0,6.5,53.0
Tiger Woods PGA Tour 2002,80.0,23.0,7.6,5.0
Lost Odyssey,78.0,68.0,8.3,432.0
Street Fighter V,77.0,80.0,3.4,1221.0
Just Cause 3,71.0,24.0,7,186.0
MLB 2005,78.0,36.0,7.6,9.0
Marvel: Ultimate Alliance 2,73.0,75.0,7.3,82.0
Burnout Revenge,90.0,52.0,8.8,114.0
Crysis 3,76.0,45.0,6.7,344.0
The Witcher 2: Assassins of Kings,88.0,82.0,8.3,818.0
Homefront,70.0,60.0,5.7,174.0
LEGO Jurassic World,70.0,46.0,7,80.0
The Elder Scrolls Online,71.0,64.0,5.7,2421.0
Hot Shots Tennis,70.0,44.0,8.1,8.0
MX vs. ATV Reflex,74.0,44.0,7.4,10.0
Madden NFL 25,74.0,13.0,5.2,118.0
Sonic Heroes,73.0,28.0,7.6,34.0
Spider-Man 3,50.0,14.0,6.5,28.0
James Bond 007: Agent Under Fire,71.0,16.0,7.5,15.0
LEGO Marvel Super Heroes,61.0,4.0,5.2,11.0
DJ Hero,86.0,53.0,7.8,49.0
X-Men Legends,82.0,63.0,8.5,14.0
NBA Live 2005,85.0,28.0,7.6,14.0
Harry Potter: Quidditch World Cup,68.0,21.0,6.6,27.0
Blitz: The League,76.0,25.0,8,20.0
Castlevania: Circle of the Moon,91.0,22.0,8.5,59.0
SOCOM 4: U.S. Navy SEALs,67.0,64.0,6.3,121.0
Tiger Woods PGA Tour 06,83.0,29.0,6.2,16.0
FIFA Street,77.0,47.0,6.7,58.0
Classic NES Series: The Legend of Zelda,84.0,16.0,8.6,58.0
Fire Emblem: The Sacred Stones,85.0,38.0,9.1,132.0
Killzone: Liberation,77.0,56.0,8.3,80.0
Finding Nemo,62.0,11.0,5.5,8.0
Ace Combat 2,83.0,10.0,8.2,22.0
NFL 2K2,85.0,16.0,7.5,6.0
Pure,83.0,43.0,7.8,30.0
Resistance: Retribution,81.0,67.0,8.1,84.0
Call of Duty: World at War,75.0,12.0,7.8,20.0
Tiger Woods PGA Tour 12: The Masters,80.0,41.0,7.3,17.0
FIFA Soccer 09 All-Play,80.0,18.0,8.4,22.0
LEGO Indiana Jones 2: The Adventure Continues,70.0,25.0,7.1,16.0
Fossil Fighters,70.0,17.0,7.9,15.0
NCAA Football 13,79.0,9.0,4.1,34.0
Samba De Amigo,68.0,43.0,8.1,40.0
The Simpsons Game,71.0,30.0,7.5,49.0
Call of Duty: Modern Warfare 2,86.0,40.0,4.2,6430.0
The Tomb Raider Trilogy,78.0,37.0,8.1,60.0
F1 2010,84.0,43.0,7.5,65.0
Call of Juarez: Bound in Blood,78.0,47.0,7.8,91.0
NBA 2K6,84.0,23.0,8.3,13.0
Dissidia 012: Duodecim Final Fantasy,78.0,52.0,8.3,144.0
Monster 4X4: World Circuit,51.0,11.0,7.8,17.0
Far Cry: Primal,77.0,27.0,6.4,194.0
Resident Evil: Revelations,82.0,78.0,8.5,397.0
Sonic Chronicles: The Dark Brotherhood,74.0,55.0,7.3,81.0
Star Wars: The Force Unleashed,61.0,8.0,5.5,18.0
Grand Theft Auto IV,90.0,40.0,6.6,2299.0
Rock Band 3,93.0,57.0,8.2,137.0
WWE SmackDown vs. Raw 2011,75.0,49.0,7.6,45.0
ESPN NHL 2K5,86.0,25.0,8.1,18.0
Borderlands: The Handsome Collection,82.0,49.0,7.8,345.0
Crimson Skies: High Road to Revenge,88.0,49.0,8.8,45.0
Madden NFL 08,76.0,29.0,6.8,27.0
Spec Ops: Ranger Elite,48.0,4.0,6.6,16.0
F1 2009,69.0,29.0,7.2,30.0
Tom Clancy's Ghost Recon: Island Thunder,81.0,33.0,8.8,17.0
Sleeping Dogs,80.0,47.0,7.9,468.0
Kingdoms of Amalur: Reckoning,80.0,71.0,7.7,446.0
Kingdom Hearts Re: Chain of Memories,68.0,20.0,7.2,105.0
Phantasy Star Portable 2,69.0,27.0,8.1,35.0
Michael Jackson: The Experience,63.0,31.0,6.8,29.0
LittleBigPlanet Karting,73.0,69.0,6.9,159.0
Tony Hawk's Project 8,69.0,17.0,7.3,19.0
GRID,87.0,62.0,7.9,131.0
DiRT,83.0,59.0,7.4,94.0
Red Faction: Guerrilla,85.0,84.0,8.1,237.0
Fight Night Round 2,88.0,37.0,9,37.0
Conflict: Desert Storm,65.0,14.0,8.1,17.0
Cooking Mama: World Kitchen,62.0,17.0,4.9,12.0
Brothers in Arms: Hell's Highway,76.0,65.0,8.3,149.0
Vagrant Story,92.0,19.0,8.3,129.0
Warriors Orochi,55.0,14.0,8.2,16.0
Crysis 3,77.0,23.0,6.3,288.0
Mercenaries 2: World in Flames,72.0,43.0,7.1,73.0
Ghostbusters: The Video Game,76.0,29.0,8.5,28.0
Guitar Hero Live,80.0,69.0,6.2,160.0
Endless Ocean: Blue World,76.0,42.0,8.5,26.0
Winning Eleven: Pro Evolution Soccer 2007,81.0,10.0,8.3,14.0
Rocky,74.0,14.0,8.4,11.0
Ford Racing,53.0,4.0,5.8,4.0
Guitar Hero: Warriors of Rock,72.0,65.0,6.5,51.0
Lemmings,76.0,46.0,7.9,14.0
Dynasty Warriors 4: Xtreme Legends,72.0,15.0,9.1,39.0
2010 FIFA World Cup South Africa,83.0,61.0,8.1,58.0
Tomb Raider: Anniversary,73.0,22.0,7.3,25.0
NBA 2K8,81.0,33.0,7,28.0
Tiger Woods PGA Tour 2005,88.0,26.0,8.9,14.0
Kingdoms of Amalur: Reckoning,81.0,34.0,7.6,376.0
Dragon Ball Z: Burst Limit,71.0,32.0,7.2,51.0
Tekken Tag Tournament 2,82.0,50.0,8.2,193.0
Ninja Gaiden Sigma 2,83.0,52.0,7.7,115.0
Ratatouille,65.0,9.0,8,11.0
Burnout 2: Point of Impact,86.0,31.0,8.2,48.0
Wii Fit U,72.0,19.0,7.7,72.0
Street Fighter EX3,64.0,17.0,7.9,31.0
The Legendary Starfy,75.0,25.0,8.4,26.0
NCAA Football 11,85.0,22.0,7.4,25.0
The House of the Dead: Overkill,78.0,65.0,8.7,95.0
Army of Two: The 40th Day,74.0,56.0,7,88.0
Darksiders II,84.0,39.0,7.1,422.0
Spider-Man 2,80.0,41.0,8.8,30.0
 Tales of Xillia 2,71.0,59.0,7.9,216.0
Ghostbusters: The Video Game,78.0,74.0,7.9,96.0
The Incredibles,63.0,27.0,7.1,7.0
Xenoblade Chronicles X,84.0,87.0,8.9,1548.0
NBA 2K10,83.0,30.0,7.8,39.0
Skate 2,84.0,50.0,7.8,53.0
Big Mutha Truckers,62.0,15.0,5.3,20.0
Rogue Galaxy,83.0,59.0,8.4,89.0
ESPN College Hoops 2K5,86.0,14.0,8.1,10.0
NCAA Football 14,77.0,9.0,6.2,40.0
Harry Potter and the Order of the Phoenix,51.0,15.0,4.9,19.0
Sniper Elite V2,67.0,37.0,6.8,131.0
Metroid: Zero Mission,89.0,50.0,9,132.0
Burnout Legends,86.0,53.0,8.4,108.0
Blazing Angels: Squadrons of WWII,57.0,11.0,6.7,28.0
Madden NFL 09 All-Play,82.0,19.0,7.2,22.0
Dynasty Warriors 2,75.0,17.0,8.8,24.0
Time Crisis 4,60.0,52.0,7.4,21.0
Duke Nukem Forever,49.0,76.0,4.4,456.0
Lizzie McGuire 2: Lizzie Diaries,57.0,6.0,5,5.0
NCAA Football 12,82.0,17.0,5.8,41.0
Brute Force,77.0,45.0,7.8,49.0
Tiger Woods PGA Tour 11,78.0,40.0,6.7,17.0
WWE SmackDown vs. Raw 2009,79.0,18.0,8.5,18.0
Sly 3: Honor Among Thieves,83.0,59.0,8.8,130.0
Need for Speed: Nitro,69.0,41.0,7.4,38.0
Street Fighter X Tekken,84.0,51.0,5.3,191.0
Sid Meier's Civilization Revolution,84.0,55.0,7.8,171.0
Tales of the Abyss,75.0,33.0,7.6,197.0
Dragon Age II,82.0,52.0,4.3,1197.0
Call of Duty: Modern Warfare 3,70.0,16.0,1.8,442.0
James Bond 007: Nightfire,78.0,30.0,7.8,25.0
Tony Hawk's Pro Skater 3,91.0,27.0,9,27.0
Marvel: Ultimate Alliance,81.0,29.0,8.2,33.0
DJ Hero 2,86.0,66.0,7.9,23.0
Harvest Moon: Tree of Tranquility,65.0,18.0,8.2,28.0
Tony Hawk's Underground 2 Remix,83.0,49.0,8,34.0
Need for Speed: Hot Pursuit 2,75.0,18.0,6.4,15.0
Amped: Freestyle Snowboarding,78.0,30.0,9,20.0
Stranglehold,77.0,59.0,7.6,91.0
Shin Megami Tensei: Persona 4,90.0,47.0,8.9,634.0
Devil May Cry HD Collection,74.0,27.0,8.8,158.0
Dance Central 3,86.0,43.0,8,45.0
Tales of Destiny II,78.0,9.0,8.7,31.0
NASCAR 2001,73.0,8.0,6.1,9.0
The Legend of Zelda: Four Swords Adventures,86.0,55.0,7.2,74.0
MediEvil: Resurrection,66.0,43.0,8.7,52.0
Valkyrie Profile,81.0,8.0,8.8,37.0
Patapon,86.0,60.0,8.7,102.0
Pro Evolution Soccer 2010,78.0,34.0,7.6,29.0
Tom Clancy's Rainbow Six 3,70.0,34.0,8.2,17.0
Madden NFL 25,73.0,18.0,5.9,111.0
NCAA Football 10,80.0,20.0,6.9,14.0
Guitar Hero: Warriors of Rock,74.0,46.0,7.1,30.0
The Sims 2,75.0,31.0,4.4,166.0
Dragon Ball: Raging Blast 2,60.0,27.0,7.5,63.0
Yakuza,75.0,58.0,8.2,73.0
Star Wars Rogue Squadron III: Rebel Strike,75.0,36.0,7.6,50.0
Hitman: Contracts,80.0,39.0,8.3,43.0
Professor Layton vs Phoenix Wright: Ace Attorney,79.0,69.0,8.5,99.0
Ben 10: Alien Force,45.0,6.0,7.8,11.0
Final Fantasy Anthology,80.0,14.0,8.1,28.0
DiRT 2,87.0,65.0,8.2,110.0
Prince of Persia: Warrior Within,83.0,55.0,7.5,35.0
Killzone: Mercenary,78.0,86.0,8.9,513.0
Pro Evolution Soccer 2010,72.0,9.0,4.6,5.0
Guitar Hero: Metallica,84.0,62.0,8.1,79.0
Final Fantasy X / X-2 HD Remaster,86.0,14.0,8.5,223.0
Need for Speed: Hot Pursuit 2,68.0,16.0,8.3,15.0
Rayman Raving Rabbids 2,57.0,8.0,7,15.0
The Sims 2: Pets,57.0,9.0,7.3,10.0
Dragon Ball Z: Budokai Tenkaichi 2,73.0,31.0,8.6,61.0
Guitar Hero: Aerosmith,71.0,11.0,6.3,15.0
Star Wars The Clone Wars: Republic Heroes,48.0,10.0,6.4,5.0
pro evolution soccer 2011,74.0,10.0,5.8,5.0
Harvest Moon: A Wonderful Life,79.0,28.0,8.9,148.0
DmC: Devil May Cry,85.0,40.0,5.3,1471.0
Motocross Mania,34.0,6.0,5.3,6.0
Darksiders II,83.0,63.0,8,456.0
Need for Speed Rivals,76.0,12.0,5.4,107.0
[Prototype 2],74.0,69.0,7,173.0
Armored Core 2,78.0,23.0,8.4,19.0
The Godfather II,65.0,72.0,6.9,60.0
Dragon's Dogma,75.0,59.0,7.8,320.0
Pro Evolution Soccer 2016,87.0,54.0,7.1,680.0
Rare Replay,84.0,75.0,7.7,325.0
Band Hero,76.0,52.0,5,30.0
NCAA Football 08,83.0,6.0,8.3,23.0
FIFA Soccer 2004,82.0,20.0,8.2,23.0
The Sims 2: Castaway,64.0,5.0,7.3,18.0
Star Ocean: The Last Hope,72.0,56.0,7.2,150.0
Sniper: Ghost Warrior,53.0,17.0,6,34.0
Invizimals,69.0,32.0,7.3,19.0
WWE 2K15,55.0,5.0,3.1,57.0
Too Human,65.0,80.0,7,458.0
Tiger Woods PGA Tour 10,81.0,38.0,7.7,9.0
Tom Clancy's Splinter Cell: Double Agent,85.0,59.0,8.1,148.0
Naruto Shippuden: Ultimate Ninja Storm 2,74.0,31.0,8.5,39.0
Golden Sun: Dark Dawn,79.0,63.0,8.1,86.0
Fight Night Champion,86.0,59.0,7.4,105.0
Dead Island: Riptide,57.0,43.0,6.3,192.0
Star Wars The Clone Wars: Jedi Alliance,68.0,10.0,7.8,32.0
The World Ends With You,88.0,59.0,8.9,283.0
Drawn to Life,73.0,34.0,8.2,30.0
Sid Meier's Civilization Revolution,85.0,39.0,7.7,87.0
NBA 2K7,81.0,12.0,8.4,18.0
James Bond 007: Nightfire,80.0,17.0,8.6,46.0
Goldeneye 007: Reloaded,72.0,38.0,6.3,52.0
Rayman Origins,87.0,55.0,8.2,209.0
Aliens: Colonial Marines,48.0,47.0,3.8,449.0
Lips,71.0,43.0,7.4,34.0
MadWorld,81.0,74.0,8.6,176.0
Need for Speed: ProStreet,57.0,14.0,7.1,19.0
Perfect Dark Zero,81.0,75.0,7.3,229.0
Marvel Nemesis: Rise of the Imperfects,53.0,30.0,6.3,46.0
Need for Speed: Porsche Unleashed,78.0,13.0,8.5,24.0
Resident Evil: Operation Raccoon City,52.0,56.0,4.9,330.0
UFC Personal Trainer: The Ultimate Fitness System,70.0,36.0,6.5,15.0
Worms: Open Warfare,70.0,22.0,6.6,18.0
Star Wars Episode II: Attack of the Clones,38.0,14.0,5,6.0
Ghost Squad,69.0,42.0,7.5,31.0
Maximo: Ghosts to Glory,84.0,33.0,8.7,16.0
Donkey Kong Country 3,77.0,16.0,8.4,27.0
All-Star Baseball 2003,81.0,15.0,8.4,17.0
Unlimited Saga,45.0,26.0,3,29.0
Pokemon Dash,46.0,28.0,5.9,34.0
Dragon Ball: Raging Blast,57.0,26.0,7.2,58.0
Twisted Metal: Head On,79.0,45.0,8.2,38.0
Sonic Unleashed,66.0,5.0,6.7,49.0
Driv3r,56.0,57.0,4.7,69.0
ISS Pro Evolution,94.0,4.0,8.7,40.0
Need For Speed: Undercover,52.0,7.0,6.8,37.0
Metroid Prime Hunters,85.0,54.0,8,188.0
Bayonetta 2,91.0,80.0,8.2,1217.0
Star Wars Battlefront: Elite Squadron,63.0,25.0,8,41.0
Syphon Filter: The Omega Strain,65.0,47.0,6.9,30.0
The Sims 3,52.0,29.0,3.3,31.0
Mortal Kombat: Deception,81.0,53.0,8.8,24.0
That's So Raven,39.0,6.0,7.6,5.0
DJ Hero,87.0,22.0,7.6,19.0
Portal 2,95.0,52.0,8.8,5999.0
Duke Nukem Forever,51.0,48.0,4.9,278.0
Star Wars: The Force Unleashed II,71.0,10.0,7.8,31.0
Harry Potter and the Half-Blood Prince,60.0,35.0,6,8.0
Wall-E,67.0,8.0,8.4,9.0
Professor Layton and the Azran Legacy,81.0,58.0,7.9,86.0
Mega Man X5,76.0,10.0,8.9,55.0
Titanfall 2,89.0,56.0,8.4,704.0
Genji: Days of the Blade,55.0,46.0,5.8,30.0
Metal Gear Solid V: The Phantom Pain,95.0,10.0,7.3,900.0
Rockstar Games presents Table Tennis,81.0,75.0,7.8,69.0
Drawn to Life: The Next Chapter,58.0,22.0,6,8.0
PokePark 2: Wonders Beyond,60.0,18.0,7,27.0
DJ Hero 2,86.0,46.0,7.8,22.0
WWE SmackDown vs. Raw 2009,72.0,9.0,6,9.0
LEGO Batman 2: DC Super Heroes,72.0,6.0,5.2,25.0
SoulCalibur V,81.0,53.0,6.7,150.0
Shark Tale,69.0,30.0,6.5,6.0
Zone of the Enders,78.0,21.0,7.4,49.0
Pro Evolution Soccer 2015,82.0,56.0,7.2,386.0
Tony Hawk's Underground 2,83.0,55.0,7.8,12.0
Madden NFL 06,75.0,23.0,7.9,16.0
Raving Rabbids: Travel in Time,62.0,24.0,7.6,14.0
Capcom vs. SNK 2: Mark of the Millennium 2001,81.0,22.0,7.9,27.0
MVP 06 NCAA Baseball,76.0,27.0,9,18.0
Turok,69.0,63.0,7.1,120.0
Coded Arms,59.0,42.0,6.5,61.0
Final Fantasy Tactics A2: Grimoire of the Rift,80.0,47.0,6.9,106.0
The Lord of the Rings: Conquest,54.0,45.0,7.1,57.0
Band Hero,76.0,45.0,5.7,9.0
Burnout,79.0,25.0,7.7,33.0
Spectrobes,63.0,37.0,7.9,31.0
The Godfather II,67.0,53.0,7.2,50.0
Mortal Kombat: Unchained,70.0,19.0,8.8,31.0
Need for Speed: Shift,69.0,11.0,6.5,31.0
Dark Souls II,91.0,30.0,7.9,915.0
Assassin's Creed: Revelations,80.0,20.0,7.4,771.0
[Prototype 2],79.0,39.0,6.8,179.0
Midnight Club 3: DUB Edition,84.0,53.0,7.4,40.0
Resident Evil: Revelations,74.0,30.0,7.2,204.0
Tom Clancy's Rainbow Six: Vegas,60.0,20.0,7.1,31.0
Red Faction: Guerrilla,85.0,56.0,8.1,136.0
Ace Combat: Assault Horizon,77.0,28.0,6.7,82.0
Unreal Championship,83.0,29.0,8.2,24.0
Crysis 2,86.0,42.0,6.8,1594.0
Tales of Vesperia,79.0,67.0,8.2,264.0
MLB 13: The Show,87.0,36.0,7.8,114.0
LEGO Marvel Super Heroes,82.0,8.0,8,71.0
Namco Museum Remix,49.0,18.0,6.3,4.0
Sword of Mana,72.0,31.0,8.3,25.0
Marvel: Ultimate Alliance 2,74.0,48.0,7.3,51.0
Dragon Age: Inquisition,85.0,45.0,5.9,3926.0
Resonance of Fate,72.0,42.0,8,136.0
Pirates of the Caribbean: At World's End,55.0,24.0,6.9,19.0
Tiger Woods PGA Tour 08,79.0,30.0,6.6,7.0
Classic NES Series: Donkey Kong,55.0,15.0,4.8,4.0
Harvest Moon: Animal Parade,76.0,10.0,8.9,20.0
WWE SmackDown vs. Raw 2010,78.0,11.0,7.7,9.0
Style Savvy: Trendsetters,76.0,5.0,8,15.0
Final Fantasy XIII-2,79.0,50.0,6.3,268.0
Oddworld: Munch's Oddysee,80.0,30.0,8.7,32.0
Persona 4: Arena,86.0,47.0,7.7,180.0
Brink,72.0,39.0,5.8,168.0
NHL 11,88.0,49.0,7.7,71.0
NCAA Football 07,79.0,43.0,6.9,20.0
Full Spectrum Warrior,84.0,67.0,8.7,27.0
LEGO Marvel's Avengers,71.0,70.0,7,87.0
Katamari Damacy,86.0,55.0,9,86.0
Just Dance 2015,75.0,6.0,6.6,26.0
LEGO Dimensions,80.0,53.0,7.1,65.0
Naruto Shippuden: Ultimate Ninja Storm Generations,74.0,23.0,7.1,83.0
Shaun Palmer's Pro Snowboarder,64.0,17.0,8.7,13.0
James Bond 007: Agent Under Fire,74.0,16.0,6.8,25.0
Harvest Moon DS: Island of Happiness,65.0,15.0,7,22.0
Star Wars Episode III: Revenge of the Sith,73.0,13.0,7.5,12.0
Ultimate Spider-Man,74.0,52.0,7.9,54.0
Monopoly Streets,65.0,9.0,5.2,5.0
Total War: Rome II,76.0,71.0,4.2,3742.0
NBA Live 08,68.0,10.0,6.6,9.0
Star Ocean: The Last Hope International,74.0,45.0,6.7,155.0
Dead to Rights,73.0,39.0,8.9,16.0
Indiana Jones and the Staff of Kings,55.0,32.0,7,28.0
Tiger Woods PGA Tour 07,79.0,33.0,6,8.0
Major League Baseball 2K7,79.0,31.0,7.1,34.0
Persona Q: Shadow of the Labyrinth,83.0,56.0,8.1,169.0
MLB 14: The Show,83.0,17.0,7.7,205.0
X-Men: Mutant Academy 2,72.0,12.0,8.4,18.0
Kirby: Canvas Curse,86.0,48.0,8.2,87.0
Madden NFL 10,77.0,23.0,7.2,24.0
MLB 09: The Show,90.0,27.0,8.1,61.0
Borderlands: The Pre-Sequel,74.0,16.0,6.4,161.0
Super Monkey Ball Jr.,82.0,20.0,8.6,11.0
The Witcher 3: Wild Hunt,93.0,32.0,9.3,10665.0
F1 2011,84.0,61.0,7.1,54.0
Mobile Suit Gundam: Encounters in Space,66.0,10.0,8.5,37.0
MLB 10: The Show,91.0,33.0,8.3,107.0
MX vs. ATV Reflex,75.0,47.0,6.6,30.0
Blur,81.0,58.0,8.2,86.0
Battlefield: Bad Company 2,87.0,46.0,8.3,1467.0
DiRT 3,87.0,81.0,7.1,166.0
The Lord of the Rings: The Two Towers,79.0,17.0,8.1,18.0
Madden NFL 2003,92.0,16.0,8.3,16.0
Skate,86.0,59.0,8.4,137.0
XCOM: Enemy Unknown,89.0,57.0,8.2,2235.0
Ben 10: Protector of Earth,60.0,4.0,7.2,23.0
Virtua Fighter 4: Evolution,93.0,30.0,9,48.0
Crysis,91.0,56.0,8,1970.0
Resident Evil: Survivor,39.0,10.0,7,47.0
The Sims 2: Castaway,66.0,8.0,4,5.0
Godzilla: Destroy All Monsters Melee,73.0,30.0,7.8,23.0
Silent Hill 3,85.0,41.0,8.8,315.0
Spyro: Enter the Dragonfly,48.0,13.0,5.1,24.0
Power Rangers: Dino Thunder,49.0,6.0,6.2,5.0
Madden NFL 08,75.0,10.0,6.8,8.0
Madden NFL 09,68.0,8.0,6.5,4.0
NBA Live 09,77.0,32.0,7.4,14.0
Dragon Ball: Xenoverse 2,73.0,54.0,7.8,117.0
Dynasty Warriors 6,59.0,31.0,7.3,49.0
NCAA Football 09,83.0,24.0,7.7,26.0
Doom 3: Resurrection of Evil,77.0,41.0,7.9,16.0
SSX,82.0,65.0,6.4,186.0
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,65.0,43.0,5.9,21.0
Two Worlds,50.0,44.0,5.5,182.0
Tony Hawk's Underground,89.0,19.0,8.5,24.0
Spider-Man 2,67.0,43.0,6.9,8.0
NCAA Football 08,81.0,30.0,7.8,44.0
Skylanders: Trap Team,86.0,4.0,7.1,18.0
Star Wars: Obi-Wan,58.0,28.0,5.9,14.0
Ace Attorney Investigations: Miles Edgeworth,78.0,51.0,8.4,79.0
Kill.Switch,73.0,33.0,8.3,19.0
Catherine,79.0,61.0,8.1,372.0
SplashDown,84.0,22.0,8.2,11.0
Jade Empire,89.0,84.0,8.6,113.0
